T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
36,Australia,2010,Consumer price index: Food,100.0000,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
36,Australia,2015,Consumer price index: Food,107.5711,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
36,Australia,2016,Consumer price index: Food,108.4496,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
36,Australia,2017,Consumer price index: Food,109.2248,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
36,Australia,2018,Consumer price index: Food,110.2842,Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,1995,Consumer price index: General,77.0600,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2005,Consumer price index: General,91.3527,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2015,Consumer price index: General,110.6757,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2016,Consumer price index: General,111.7000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2017,Consumer price index: General,114.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2018,Consumer price index: General,116.3000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,1995,Consumer price index: Food,76.3598,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2005,Consumer price index: Food,88.0558,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2010,Consumer price index: Food,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2015,Consumer price index: Food,114.4167,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2016,Consumer price index: Food,115.2000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2017,Consumer price index: Food,118.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
40,Austria,2018,Consumer price index: Food,119.7000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,1995,Consumer price index: General,42.6677,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2005,Consumer price index: General,61.1464,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2010,Consumer price index: General,100.0000,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
31,Azerbaijan,2015,Consumer price index: General,117.7309,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2019."
